Group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Tylochromis jentinki,0.03,0.005,0,0,0.01,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.003,0.01,0.01,0.001,0.004,0,0,0,0,0,0.006,0,0,0,0,0,0,0
Sarotherodon melanotheron ,0.05,0.03,0.005,0.05,0.025,0.04,0,0.03,0,0.05,0,0.02,0.025,0,0,0,0,0,0.15,0,0,0.02,0.05,0.005,0.005,0.01,0,0.03,0,0.01,0,0.01,0,0,0,0,0,0,0
Tilapia guineensis,0.05,0.01,0.005,0.06,0.02,0,0,0.03,0,0.025,0,0.02,0.03,0,0,0,0,0,0.01,0,0,0.3,0.05,0.16,0.71,0.121,0.35,0.105,0.01,0.08,0,0.6,0,0,0.2,0.45,0,0,0
Shrimps,0.228,0.15,0.05,0.1,0.05,0.02,0.02,0.08,0,0.02,0.05,0.05,0.05,0.005,0.005,0.001,0.01,0.05,0.1,0,0.3,0.2,0.09,0.37,0,0,0.35,0.3,0.01,0.06,0.2,0.159,0,0,0,0.259,0,0,0
Crabs,0,0.075,0.25,0.2,0.5,0.06,0.2,0.2,0,0.225,0.2,0.25,0.24,0,0.1,0.25,0,0,0.2,0,0.4,0.2,0.7,0.18,0.23,0.49,0,0.546,0.635,0.75,0.15,0,0.07,0.02,0.3,0,0.28,0,0.01
Mollusks,0,0.1,0.4,0,0,0.372,0.35,0.65,0.55,0.4,0.54,0.65,0.49,0.6,0.1,0.449,0.225,0,0.23,0.45,0,0,0,0,0,0,0.15,0,0.325,0.2,0,0.1,0.28,0.18,0.3,0,0.3,0,0.85
Zoobenthos,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.15,0.3,0.15,0.45,0,0.13,0,0,0,0,0,0,0.05,0,0.01,0.15,0,0,0.05,0.2,0,0.031,0.15,0.15,0
Zooplankton,0,0.57,0.29,0.27,0.145,0.4,0.37,0,0.33,0.095,0,0,0,0.2,0.3,0,0.49,0.49,0.3,0.26,0,0.05,0,0,0,0.13,0.1,0,0.01,0.1,0.3,0.114,0.6,0.6,0.2,0.205,0.27,0.85,0.14
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phytobenthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus,0,0.02,0,0,0,0,0,0,0.105,0.15,0,0,0.05,0.095,0.1,0,0.1,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
